avec_hebergement;nom_etablissement;propriete_ville;categorie;type;adresse_1;adresse_2;code_postal;commune;canton;effectif_personnel;nb_visiteurs_max;geometrie
0;BOUTIQUE JO MALONE;0;5.0;M;42 cours l'INTENDANCE;;33000;BORDEAUX;;0;0;44.84178,-0.577819
0;BRASSERIE LE TERMINUS DE BORDEAUX;0;5.0;N;29 RUE CHARLES DOMERCQ;;33800;BORDEAUX;13 St Jean Belcier Carle Vernet Albert 1er Sacré C;6;150;44.826492,-0.556887
0;CENTRAL HOSTEL;0;5.0;O;2 PLACE SAINT PROJET;;33000;BORDEAUX;;7;191;44.838493,-0.574273
0;CENTRE COMMERCIAL COUNORD: PHARMACIE;0;2.0;M;38-42 AVENUE EMILE COUNORD;;33300;BORDEAUX;03 Chartrons Grand parc;5;10;44.856795,-0.573887
0;DOJO VICENTINI;0;5.0;X;10 CITE Brulatour;;33000;BORDEAUX;;0;19;44.850724,-0.545908
0;ECOLE MATERNELLE ST ANDRE;0;4.0;R;RUE MASSON;;33200;BORDEAUX;07 08 Caudéran;10;84;44.848482,-0.624147
0;EGLISE EVANGELIQUE - ASSEMBLEE DE DIEU DE LA GIRONDE;0;2.0;V;16/18 AVENUE DE LA REPUBLIQUE;;33200;BORDEAUX;07 08 Caudéran;0;730;44.843152,-0.628823
0;ENSEMBLE IMMOBILIER PLACE STE CATHERINE;0;2.0;M;10 rue de la Porte Dijeaux, rue Margaux;rue Guiraude;33000;BORDEAUX;;13;132;44.841038,-0.575
0;GINKO :MAGASIN 1 (ILOT B2.1);0;5.0;M;AVENUE REINSON;;33000;BORDEAUX;;0;0;44.860468,-0.609936
0;LOCAL ASSOCIATIF KOEKO;0;5.0;N;91 COURS DE LA MARNE;;33000;BORDEAUX;;0;0;44.827991,-0.575125
0;MAISON DE RETRAITE HENRY DUNANT;0;4.0;U;3 rue du Haut Queyron;25 A 31 boulevard George V;33000;BORDEAUX;09 St Augustin Quintin Loucheur Tondu;20;88;44.826588,-0.59257
N;PATISSERIE ANTOINE;N;5.0;M;19 COURS PORTAL;;33000;BORDEAUX;;6;55;44.852849,-0.573257
0;RESTAURANT LES CHARMILLES EX O..1-00022-000;0;5.0;N;2 RUE DE DEYME;;33100;BORDEAUX;04 la Bastide;0;60;44.853593,-0.538924
0;RESTAURANT MAISON MERE (EX ECHALOTTE);0;5.0;N;4-6 RUE DE LA MAISON DAURADE;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;0;45;44.841795,-0.5741
0;SARL PHENIX 314 (LOCAL COMMERCIAL);0;5.0;M;57 RUE DES FAURES;;33000;BORDEAUX;;0;0;44.835066,-0.566689
